Format Version,1.23,Take Name,Team4Aug1Flight1,Take Notes,,Capture Frame Rate,360.000000,Export Frame Rate,360.000000,Capture Start Time,2025-08-01 12.43.05.256 PM,Total Frames in Take,33121,Total Exported Frames,33121,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body
,Name,drone,drone,drone,drone,drone,drone,drone
,ID,"431036D76EF611F07C158CA0568E196","431036D76EF611F07C158CA0568E196","431036D76EF611F07C158CA0568E196","431036D76EF611F07C158CA0568E196","431036D76EF611F07C158CA0568E196","431036D76EF611F07C158CA0568E196","431036D76EF611F07C158CA0568E196"
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,W,X,Y,Z
0,0.000000,0.013152,-0.105805,-0.041637,-0.993428,-3.626098,2.077855,-3.502234
1,0.002778,0.011035,-0.106629,-0.039159,-0.993466,-3.627112,2.077361,-3.502073
2,0.005556,0.011419,-0.106559,-0.042896,-0.993315,-3.628066,2.077442,-3.502026
3,0.008333,0.012547,-0.106201,-0.043247,-0.993325,-3.629097,2.077502,-3.501949
4,0.011111,0.013193,-0.105533,-0.040656,-0.993497,-3.630113,2.077863,-3.501993
5,0.013889,0.010193,-0.106144,-0.041205,-0.993444,-3.631148,2.078049,-3.501932
6,0.016667,0.007843,-0.106948,-0.042055,-0.993344,-3.632121,2.078009,-3.501684
7,0.019444,0.008974,-0.106790,-0.044842,-0.993229,-3.633173,2.078109,-3.501600
8,0.022222,0.008782,-0.106818,-0.043081,-0.993306,-3.634166,2.078037,-3.501549
9,0.025000,0.009494,-0.106413,-0.042751,-0.993357,-3.635291,2.078464,-3.501556
10,0.027778,0.009632,-0.107094,-0.041321,-0.993343,-3.636198,2.077947,-3.501257
11,0.030556,0.009709,-0.106699,-0.044118,-0.993265,-3.637134,2.077788,-3.501059
12,0.033333,0.009937,-0.106523,-0.043405,-0.993313,-3.638342,2.078002,-3.501118
13,0.036111,0.014776,-0.105104,-0.043242,-0.993411,-3.639451,2.078587,-3.501053
14,0.038889,0.015476,-0.105492,-0.043879,-0.993331,-3.640471,2.078841,-3.501135
15,0.041667,0.013907,-0.105651,-0.042999,-0.993376,-3.641678,2.078624,-3.500853
16,0.044444,0.014671,-0.105736,-0.043540,-0.993332,-3.642579,2.078439,-3.500688
17,0.047222,0.014315,-0.105411,-0.041873,-0.993444,-3.643603,2.078372,-3.500673
18,0.050000,0.013994,-0.105201,-0.040985,-0.993508,-3.644611,2.078599,-3.500573
19,0.052778,0.013058,-0.105928,-0.041839,-0.993407,-3.645731,2.078542,-3.500410
20,0.055556,0.013225,-0.106445,-0.042892,-0.993305,-3.646824,2.078261,-3.500194
21,0.058333,0.013538,-0.105983,-0.040474,-0.993452,-3.647885,2.078199,-3.500139
22,0.061111,,,,,,,
23,0.063889,0.011640,-0.106531,-0.042410,-0.993336,-3.649966,2.078715,-3.499924
24,0.066667,0.012180,-0.106442,-0.038668,-0.993492,-3.651144,2.078232,-3.499776
25,0.069444,0.012852,-0.106498,-0.039069,-0.993462,-3.652223,2.078006,-3.499666
26,0.072222,0.019807,-0.104685,-0.041681,-0.993434,-3.653456,2.078651,-3.499666
27,0.075000,0.018269,-0.105408,-0.042817,-0.993339,-3.654492,2.078885,-3.499582
28,0.077778,0.016833,-0.105849,-0.042757,-0.993320,-3.655411,2.078659,-3.499428
29,0.080556,0.018268,-0.105676,-0.041945,-0.993348,-3.656679,2.078096,-3.499175
30,0.083333,0.015323,-0.105587,-0.037958,-0.993567,-3.657711,2.078078,-3.499002
31,0.086111,0.014509,-0.106040,-0.037707,-0.993541,-3.658758,2.078321,-3.498846
32,0.088889,0.013620,-0.106685,-0.039189,-0.993427,-3.659880,2.078576,-3.498752
33,0.091667,0.015810,-0.106033,-0.038701,-0.993483,-3.661089,2.077745,-3.498556
34,0.094444,0.014654,-0.105415,-0.034275,-0.993729,-3.662235,2.078229,-3.498523
35,0.097222,0.014171,-0.106020,-0.034044,-0.993680,-3.663315,2.078434,-3.498381
36,0.100000,0.013804,-0.106557,-0.035188,-0.993588,-3.664442,2.078791,-3.498265
37,0.102778,0.017702,-0.105642,-0.036485,-0.993577,-3.665807,2.078168,-3.498210
38,0.105556,0.018881,-0.104878,-0.034772,-0.993698,-3.666886,2.078446,-3.498133
39,0.108333,0.018080,-0.105791,-0.033961,-0.993644,-3.667946,2.078595,-3.498044
